OriginalExplanation,TurkishExplanation,Description,OID,Unit,ValueType,Min,Maks,DeviceModelID,CollectorUpdate
?,?,,1.3.6.1.4.1.21111.1.1.3.15.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.3.16.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.4.1.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.4.2.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.4.3.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.4.4.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.4.5.1.1.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.4.5.1.2.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.4.5.1.3.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.4.5.1.4.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.4.5.1.5.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.4.5.1.6.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.4.5.1.7.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.4.5.1.8.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.4.6.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.4.7.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.5.1.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.5.2.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.5.3.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.5.4.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.5.5.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.5.6.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.5.7.1.1.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.5.7.1.2.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.5.7.1.3.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.5.7.1.4.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.5.7.1.5.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.5.7.1.6.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.5.7.1.7.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.5.7.1.8.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.5.7.1.9.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.5.8.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.5.9.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.5.10.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.5.11.0,,2,,,,
